id,lat,lng,artdtsch,gattungdeutsch,strname,hausnr,standortnr,pflanzjahr,standalter,bezirk,wassermenge,wassersumme,anzahlG
_x3hum71xy,13.42388,52.54377,Spitz-Ahorn,AHORN,Senefelderstraße,unbekannte Nummer,42683,1988,31,Pankow,50,50,1
_x4snkj1a3,13.3224,52.46586,Silber-Linde,LINDE,Gutsmuthsstraße,14,001761,1978,41,Steglitz-Zehlendorf,25,35,2
_x52i5jeul,13.31277,52.50788,Dreidorniger Lederhülsenbaum,GLEDITSCHIE,Pestalozzistraße,19,03433,1966,53,Charlottenburg-Wilmersdorf,10,10,1
_x5dw668bq,13.37211,52.54019,Pyramiden-Hainbuche,HAINBUCHE,Schulzendorfer Straße,23,364600,2015,4,Mitte,25,160,5
_x5nl4rvry,13.52422,52.48685,Spitz-Ahorn 'Olmstedt',AHORN,Marksburgstraße,unbekannte Nummer,30SB13,1999,20,Lichtenberg,10,30,3
_x5npcffbk,13.32947,52.47658,"Oxelbeere, Schwedische Mehlbeere",MEHLBEERE,Sieglindestraße,7,17813,2008,11,Tempelhof-Schöneberg,50,100,2
_x5qt4r6sg,13.39656,52.53418,Gemeine Rosskastanie,ROSSKASTANIE,unbekannte Straße,unbekannte Nummer,161200,2014,5,Mitte,10,230,10
_x6284yqmh,13.3985,52.56704,"Berg-Ahorn, Weiss-Ahorn",AHORN,Görschstraße,unbekannte Nummer,41046,1999,20,Pankow,50,100,2
_x6nkmm9yu,13.33678,52.52344,Echter Rotdorn,WEIßDORN,Essener Straße,18,224320,1950,69,Mitte,25,25,1
_x6qztzvmm,13.46255,52.51874,"Berg-Ahorn, Weiss-Ahorn",AHORN,unbekannte Straße,unbekannte Nummer,60114,1979,40,Friedrichshain-Kreuzberg,50,300,6
_x7hv4onrk,13.41772,52.48425,"Sommer-Eiche, Stiel-Eiche",EICHE,unbekannte Straße,unbekannte Nummer,421.001-1,1748,271,Neukölln,25,25,1
_x8311qysp,13.3875,52.53006,Zweigriffliger Weissdorn,WEIßDORN,Eichendorffstraße,17,171600,1999,20,Mitte,50,50,1
_x83y6zdp0,13.42799,52.4885,Ulme,ULME,Friedelstraße,8,1381,1960,59,Neukölln,50,850,18
_x87eg85op,13.43115,52.53234,Ahornblättrige Platane,PLATANE,Hufelandstraße,unbekannte Nummer,41384,2008,11,Pankow,25,50,2
_x897mql5k,13.31685,52.52968,Zier-Feld-Ahorn 'Red Shine',AHORN,Ufnaustraße,15,218220,2017,2,Mitte,25,65,4
_x8o491ppc,13.43345,52.51999,Esche 'Westhof´s Glorie',ESCHE,Friedrichsberger Straße,14,FRIEDBER,2001,18,Friedrichshain-Kreuzberg,50,100,2
_x8p9v7kwd,13.43508,52.53269,Pyramiden-Eiche,EICHE,Pasteurstraße,unbekannte Nummer,42210,2009,10,Pankow,10,30,3
_x8udrml3t,13.39202,52.48977,Rot-/Weißdorn,WEIßDORN,Solmsstraße,unbekannte Nummer,04212,1991,28,Friedrichshain-Kreuzberg,5,5,1
_x97sm24wt,13.31528,52.44682,Spitz-Ahorn,AHORN,Hindenburgdamm,ggü 57 E,2002,1980,39,Steglitz-Zehlendorf,5,20,3
_x9bgbeael,13.33901,52.42927,Holländische Linde,LINDE,Derfflingerstraße,36,949,1982,37,Steglitz-Zehlendorf,10,35,2
_xa0tvqari,13.41837,52.56341,Krim-Linde,LINDE,Binzstraße,unbekannte Nummer,40333,1949,70,Pankow,10,10,1
_xa70nvv1j,13.37925,52.4587,Kaiser-Linde,LINDE,Friedrich-Wilhelm-Straße,29,1404,1999,20,Tempelhof-Schöneberg,25,60,3
_xaopbpack,13.45097,52.54925,Echter Rotdorn,WEIßDORN,Max-Steinke-Straße,unbekannte Nummer,41931,1991,28,Pankow,25,50,2
_xav14si2c,13.45309,52.5134,Platane,PLATANE,Warschauer Straße,unbekannte Nummer,WARSCH,1954,65,Friedrichshain-Kreuzberg,25,35,2
_xbk9v0h5u,13.42324,52.48335,Linde,LINDE,Wissmannstraße,17,,1994,25,Neukölln,10,20,2
_xduob0tbt,13.52931,52.47898,Winter-Linde,LINDE,Am Carlsgarten,unbekannte Nummer,32SB01,2008,11,Lichtenberg,50,50,1
_xdvnbh3uv,13.32697,52.49841,Amerikanische Linde,LINDE,Fasanenstraße,unbekannte Nummer,01239,1985,34,Charlottenburg-Wilmersdorf,50,500,10
_xe6uib9e0,13.47167,52.51702,Scheinakazie 'Bessoniana',ROBINIE,unbekannte Straße,unbekannte Nummer,60114,1995,24,Friedrichshain-Kreuzberg,10,160,4
_xe70e6abc,13.36687,52.50084,Einblattakazie,ROBINIE,Körnerstraße,15,243200,1985,34,Mitte,25,25,1
_xe7duuaii,13.29152,52.50594,Ahornblättrige Platane,PLATANE,Trendelenburgstraße,2-7,04538,1991,28,Charlottenburg-Wilmersdorf,50,100,2
_xeafhw30m,13.32551,52.46988,Sommer-Linde,LINDE,Goßlerstraße,10,17680,1955,64,Tempelhof-Schöneberg,25,25,1
_xeekxu8no,13.43341,52.55523,Winter-Linde,LINDE,Jacobsohnstraße,unbekannte Nummer,41438,1998,21,Pankow,25,25,1
_xellcodml,13.45293,52.51343,Kaiser-Linde,LINDE,Warschauer Straße,unbekannte Nummer,WARSCH,2000,19,Friedrichshain-Kreuzberg,25,25,1
_xf1xg5ozx,13.34865,52.54456,"Oxelbeere, Schwedische Mehlbeere",MEHLBEERE,Ostender Straße,26,363700,1982,37,Mitte,25,70,4
_xf4jpzu0j,13.33001,52.60747,Dreidorniger Lederhülsenbaum,GLEDITSCHIE,Titiseestraße,39,05351-Str,2016,3,Reinickendorf,50,100,2
_xfhz5drss,13.47797,52.50647,Kugel-Ahorn,AHORN,Pfarrstraße,unbekannte Nummer,,2003,16,Lichtenberg,50,50,1
_xg8b4s9y2,13.40977,52.4905,Linde,LINDE,Körtestraße,unbekannte Nummer,02521,1973,46,Friedrichshain-Kreuzberg,50,50,1
_xgiiaifih,13.26333,52.51455,Winter-Linde,LINDE,Reichsstraße,88,03647,1980,39,Charlottenburg-Wilmersdorf,25,25,1
_xgkm1tb5s,13.47065,52.51633,Chinesische Wild-Birne,BIRNE,Schreinerstraße,unbekannte Nummer,SCHREIN,2000,19,Friedrichshain-Kreuzberg,50,50,1
_xgo50kfmp,13.33744,52.4755,Pflaumenblättriger Weiss-Dorn,WEIßDORN,Stierstraße,12,17727,1971,48,Tempelhof-Schöneberg,25,25,1
_xgw1hhp45,13.19643,52.42645,Sommer-Linde,LINDE,Prinz-Friedrich-Leopold-Straße,31,3541,1945,74,Steglitz-Zehlendorf,50,50,1
_xh95yuvtk,13.4355,52.59732,Winter-Linde 'Merkur',LINDE,Nizzastraße,unbekannte Nummer,10873,2017,2,Pankow,10,30,3
_xhmil3048,13.41825,52.55055,"Berg-Ahorn, Weiss-Ahorn",AHORN,Rodenbergstraße,unbekannte Nummer,42431,1982,37,Pankow,25,25,1
_xhmuqgool,13.42294,52.54158,Eschen-Ahorn,AHORN,Senefelderstraße,unbekannte Nummer,42683,1988,31,Pankow,5,5,1
_xi5rbz41f,13.46688,52.51777,Sand-Birke,BIRKE,Bänschstraße,unbekannte Nummer,BÄNSCHST,1972,47,Friedrichshain-Kreuzberg,25,145,6
_xibvuenkm,13.48441,52.62053,Winter-Linde,LINDE,Busonistraße,unbekannte Nummer,06449,1997,22,Pankow,50,70,3
_xijli672b,13.46411,52.51846,Pflaumenblättriger Weiss-Dorn,WEIßDORN,unbekannte Straße,unbekannte Nummer,60114,2014,5,Friedrichshain-Kreuzberg,50,200,4
_xik6xm2v4,13.35223,52.4884,Kleinkronige Winter-Linde,LINDE,Merseburger Straße,9,17705,2017,2,Tempelhof-Schöneberg,25,45,4
_xj1fde0wb,13.40789,52.53987,Himalaja-Birke,BIRKE,unbekannte Straße,unbekannte Nummer,79441,2012,7,Pankow,50,100,2
_xj2qdztsu,13.34342,52.46058,Borstige Robinie,ROBINIE,Kniephofstraße,39,2486,1986,33,Steglitz-Zehlendorf,25,55,3
_xj7z6i5bt,13.33079,52.44724,Spitz-Ahorn,AHORN,Johanna-Stegen-Straße,13,2245,1985,34,Steglitz-Zehlendorf,25,25,1
_xjb62jotq,13.43554,52.49609,Linde,LINDE,Wiener Straße,unbekannte Nummer,04842,1952,67,Friedrichshain-Kreuzberg,50,50,1
_xjkvlxmzo,13.45085,52.50204,Chinesische Wild-Birne,BIRNE,Ehrenbergstraße,unbekannte Nummer,EHRENBER,2009,10,Friedrichshain-Kreuzberg,25,50,2
_xk2f9z1rr,13.41269,52.54474,Pyramiden-Hainbuche,HAINBUCHE,Schönhauser Allee,unbekannte Nummer,42616,2011,8,Pankow,10,330,13
_xk2i6xi4x,13.47016,52.51729,Scheinakazie 'Bessoniana',ROBINIE,unbekannte Straße,unbekannte Nummer,60114,1995,24,Friedrichshain-Kreuzberg,10,160,4
_xk4nmbrgr,13.46274,52.48598,Sommer-Linde,LINDE,Herkomerstraße,unbekannte Nummer,20114,1994,25,Treptow-Köpenick,5,5,1
_xkh32igbc,13.36125,52.50157,Ahornblättrige Platane,PLATANE,Pohlstraße,72,219620,1975,44,Mitte,25,175,5
_xl04m0tx1,13.48977,52.5426,Kaiser-Linde,LINDE,Konrad-Wolf-Straße,unbekannte Nummer,14SB04,1998,21,Lichtenberg,25,205,8
_xl58nx9c5,13.40157,52.53817,Vogelbeere,MEHLBEERE,Rheinsberger Straße,24,189400,1995,24,Mitte,50,110,3
_xl60l3fpx,13.4111,52.55502,Winter-Linde,LINDE,Gotlandstraße,unbekannte Nummer,41051,2002,17,Pankow,50,50,1
_xlkjwwu0d,13.3123,52.48215,"Sommer-Eiche, Stiel-Eiche",EICHE,Kahlstraße,13,02286,1985,34,Charlottenburg-Wilmersdorf,10,385,15
_xllm5wrn8,13.36471,52.48613,Robinie,ROBINIE,Hohenfriedbergstraße,10,17868,2011,8,Tempelhof-Schöneberg,25,25,1
_xlrli386n,13.37683,52.55852,Spitz-Ahorn,AHORN,Drontheimer Straße,30,367400,1975,44,Mitte,50,50,1
_xlvzs5cmo,13.30352,52.51549,Birken-Pappel,PAPPEL,Haubachstraße,23,01860,1986,33,Charlottenburg-Wilmersdorf,25,25,1
_xlw6wvzit,13.38173,52.49169,Rot-/Weißdorn,WEIßDORN,Hagelberger Straße,unbekannte Nummer,01792,1997,22,Friedrichshain-Kreuzberg,25,960,45
_xm6gtvv0e,13.34737,52.46492,Trauben-Kirsche 'Tiefurt',undefined,Peter-Vischer-Straße,unbekannte Nummer,17718,2019,0,Tempelhof-Schöneberg,50,110,3
_xmuwbm2d6,13.36593,52.42491,Sand-Birke,BIRKE,Friedrichrodaer Straße,69b,1395,1982,37,Steglitz-Zehlendorf,25,965,27
_xmxs90t8k,13.42937,52.53504,Rot-Ahorn,AHORN,Christburger Straße,unbekannte Nummer,40518,1999,20,Pankow,25,25,1
_xnf1ktamy,13.35792,52.52098,Zier-Feld-Ahorn 'Red Shine',AHORN,Flemingstraße,4,241500,2017,2,Mitte,10,10,1
_xnmvem9wv,13.43146,52.50079,Kulturapfel,APFEL,Lausitzer Platz,12,07050,1995,24,Friedrichshain-Kreuzberg,50,100,2
_xo7hj0ebu,13.34805,52.46408,Säulen-Birke,BIRKE,Grazer Damm,179,17681,2009,10,Tempelhof-Schöneberg,50,100,2
_xok3mznbj,13.29014,52.51319,Säulenförmiger Spitz-Ahorn,AHORN,Knobelsdorffstraße,44,02488,2009,10,Charlottenburg-Wilmersdorf,25,100,4
_xoyxmysci,13.43272,52.54446,Winter-Linde,LINDE,Gubitzstraße,unbekannte Nummer,41126,1997,22,Pankow,50,50,1
_xp0em4hn6,13.36112,52.50161,Holländische Linde,LINDE,Pohlstraße,74,219620,1950,69,Mitte,25,150,5
_xpkt9cqr5,13.472,52.49633,Großblättrige Robinie,ROBINIE,Fischzug,unbekannte Nummer,FISCHZUG,2004,15,Friedrichshain-Kreuzberg,10,20,2
_xpqe3jyo2,13.2842,52.42947,Japanische Zierkirsche 'Kanzan',undefined,Hochbaumstraße,33a,2013,2012,7,Steglitz-Zehlendorf,25,35,2
_xpymzhrm3,13.36252,52.47984,Baum-Hasel,HASEL,Gustav-Müller-Straße,32,17682,2005,14,Tempelhof-Schöneberg,25,75,6
_xq34pyekp,13.39318,52.4858,Baum-Hasel,HASEL,Schwiebusser Straße,unbekannte Nummer,04092,1984,35,Friedrichshain-Kreuzberg,25,25,1
_xq4r0vtrc,13.35141,52.49763,Kleinkronige Winter-Linde,LINDE,Nollendorfstraße,27,17715,2015,4,Tempelhof-Schöneberg,25,200,6
_xq766k9yh,13.40087,52.49316,Winter-Linde,LINDE,Blücherstraße,unbekannte Nummer,00613,2015,4,Friedrichshain-Kreuzberg,50,50,1
_xqi4dnqiw,13.41648,52.50142,Kleinkronige Winter-Linde,LINDE,Dresdener Straße,unbekannte Nummer,06096,2009,10,Friedrichshain-Kreuzberg,50,50,1
_xr3jan42z,13.47148,52.49649,Großblättrige Robinie,ROBINIE,Fischzug,unbekannte Nummer,FISCHZUG,2015,4,Friedrichshain-Kreuzberg,25,45,3
_xra70aebh,13.41941,52.49363,Dreidorniger Lederhülsenbaum,GLEDITSCHIE,Böckhstraße,unbekannte Nummer,00630,1986,33,Friedrichshain-Kreuzberg,25,50,2
_xru9goveo,13.458,52.5131,Sommer-Linde,LINDE,Niederbarnimstraße,unbekannte Nummer,NIEDERBA,1963,56,Friedrichshain-Kreuzberg,25,25,1
_xs4l31cr8,13.45921,52.51427,Winter-Linde,LINDE,Niederbarnimstraße,unbekannte Nummer,NIEDERBA,1980,39,Friedrichshain-Kreuzberg,25,25,1
_xsnfktb5k,13.29827,52.43654,"Berg-Ahorn, Weiss-Ahorn",AHORN,Holbeinstraße,1,2061,1955,64,Steglitz-Zehlendorf,25,25,1
_xt1akaxve,13.34212,52.49551,Winter-Linde,LINDE,unbekannte Straße,unbekannte Nummer,17246.0,1961,58,Tempelhof-Schöneberg,5,5,1
_xu8t0q9et,13.4672,52.51696,Chinesische Wild-Birne,BIRNE,Schreinerstraße,unbekannte Nummer,SCHREIN,1999,20,Friedrichshain-Kreuzberg,10,10,1
_xujgfy0dr,13.34858,52.49351,Baum-Hasel,HASEL,Lindauer Straße,4,17694,1963,56,Tempelhof-Schöneberg,50,350,7
_xumpuqcwt,13.20923,52.5716,Zweigriffliger Weissdorn,WEIßDORN,Aspenweg,unbekannte Nummer,00356-Str,1989,30,Spandau,25,50,2
_xustinnha,13.28788,52.44632,Sommer-Linde,LINDE,Ladenbergstraße,unbekannte Nummer,002670,1950,69,Steglitz-Zehlendorf,50,100,2
_xuvfb7oqm,13.50075,52.5032,Walnuss,WALNUSS,Archenholdstraße,unbekannte Nummer,24SB06,1965,54,Lichtenberg,10,30,3
_xuvix1v9k,13.46838,52.51082,Winter-Linde,LINDE,Weichselstraße,unbekannte Nummer,WEICHSEL,1989,30,Friedrichshain-Kreuzberg,10,15,2
_xv334g7jm,13.32153,52.47714,Gemeine Rosskastanie,ROSSKASTANIE,Kreisauer Straße,4,17848,1966,53,Tempelhof-Schöneberg,50,50,1
_xvelov6l0,13.38563,52.52964,Säulenförmiger Spitz-Ahorn,AHORN,Schlegelstraße,4,191600,2011,8,Mitte,50,50,1
_xvfgo2amg,13.42687,52.50313,Rot-/Weißdorn,WEIßDORN,Muskauer Straße,unbekannte Nummer,03161,1985,34,Friedrichshain-Kreuzberg,25,25,1
_xvhfoo78v,13.31201,52.50777,Dreidorniger Lederhülsenbaum,GLEDITSCHIE,Pestalozzistraße,88b,03433,1966,53,Charlottenburg-Wilmersdorf,10,675,31
_xvi2m831z,13.25362,52.52104,Silber-Linde,LINDE,Reichsstraße,65,03647,1979,40,Charlottenburg-Wilmersdorf,50,100,2
_xvkyetmma,13.51924,52.49505,Sternmagnolie 'Merril',MAGNOLIE,unbekannte Straße,unbekannte Nummer,28JU01,2018,1,Lichtenberg,10,185,7
_xvq2clejn,13.45713,52.52306,Rotblühende Rosskastanie,ROSSKASTANIE,unbekannte Straße,unbekannte Nummer,80101,2007,12,Pankow,10,465,26
_xvw38ewul,13.38675,52.53011,Weidenblättrige Birne,BIRNE,Schlegelstraße,10,191600,1998,21,Mitte,50,50,1
_xvyj77ggq,13.28025,52.41985,Ahornblättrige Platane,PLATANE,William-H.-Tunner-Straße,22,8624,2002,17,Steglitz-Zehlendorf,25,85,3
_xvyrcgw0f,13.32686,52.46705,Gemeine Rosskastanie,ROSSKASTANIE,Fröaufstraße,7,17884,1985,34,Tempelhof-Schöneberg,50,160,7
_xvzketbpe,13.42712,52.42147,Spitz-Ahorn,AHORN,Rufacher Weg,67,3823,1987,32,Neukölln,50,90,4
_xwb0o3u2g,13.30382,52.50055,Rotblühende Rosskastanie,ROSSKASTANIE,Dahlmannstraße,14,00905,1965,54,Charlottenburg-Wilmersdorf,5,15,2
_xwesfftlq,13.46394,52.52747,Spitz-Ahorn,AHORN,Erich-Kuttner-Straße,unbekannte Nummer,19SB10,1978,41,Lichtenberg,50,100,2
_xwgh1iax6,13.35723,52.5419,Winter-Linde,LINDE,Tegeler Straße,23,377500,2004,15,Mitte,10,10,1
_xwq3dpdyz,13.18828,52.53738,Winter-Linde,LINDE,Seegefelder Straße,unbekannte Nummer,00517-Str,1954,65,Spandau,25,75,2
_xx7mynkpw,13.29794,52.49509,Spitz-Ahorn,AHORN,Schweidnitzer Straße,17,04082,1985,34,Charlottenburg-Wilmersdorf,10,20,2
_xxlo53o1k,13.36405,52.49825,Kugel-Ahorn,AHORN,Steinmetzstraße,6,17812,1995,24,Tempelhof-Schöneberg,25,25,1
_xxp9dee49,13.34906,52.52297,Gewöhnliche Esche,ESCHE,Kirchstraße,18,246300,2003,16,Mitte,10,20,2
_xxx9i02q7,13.33533,52.47059,Kaiser-Linde,LINDE,Dickhardtstraße,2,17891,1965,54,Tempelhof-Schöneberg,25,25,1
_xy2vjmirr,13.33249,52.4404,Apfel-Dorn,WEIßDORN,Mozartstraße,44,003135,1999,20,Steglitz-Zehlendorf,25,25,1
_xy9pz1yv3,13.4701,52.51736,Pflaumenblättriger Weiss-Dorn,WEIßDORN,unbekannte Straße,unbekannte Nummer,60114,2016,3,Friedrichshain-Kreuzberg,10,160,4
_xybixk56t,13.38216,52.49392,Hainbuche,HAINBUCHE,unbekannte Straße,unbekannte Nummer,50086,1985,34,Friedrichshain-Kreuzberg,50,100,2
_xyjv23rdi,13.31327,52.5105,Rotblühende Rosskastanie,ROSSKASTANIE,Schillerstraße,103,03948,1970,49,Charlottenburg-Wilmersdorf,50,50,1
_xyolz7rk9,13.35713,52.49444,Spitz-Ahorn,AHORN,Pallasstraße,27,17717,1986,33,Tempelhof-Schöneberg,10,10,1
_xyvd6oars,13.46001,52.51735,Baum-Hasel,HASEL,Rigaer Straße,unbekannte Nummer,RIGAER,1999,20,Friedrichshain-Kreuzberg,50,200,4
_xz9cqqpjg,13.27566,52.51536,"Sommer-Eiche, Stiel-Eiche",EICHE,Eichenallee,3,01085,1980,39,Charlottenburg-Wilmersdorf,10,10,1
_xzm5ms3is,13.34999,52.54202,Spitz-Ahorn,AHORN,Triftstraße,37,30668,2002,17,Mitte,5,5,1
_xznk3s19j,13.39009,52.48988,Buche,BUCHE,Nostitzstraße,unbekannte Nummer,03273,2018,1,Friedrichshain-Kreuzberg,10,60,2
_xzuuwtfr5,13.33142,52.53162,Zierkirsche 'Spire',undefined,Waldstraße,37,220200,2007,12,Mitte,50,250,5
_y03nyg5tt,13.51916,52.49502,Sternmagnolie 'Merril',MAGNOLIE,unbekannte Straße,unbekannte Nummer,28JU01,2018,1,Lichtenberg,10,180,9
_y04vta5zu,13.44354,52.48694,Winter-Linde,LINDE,Bouchéstraße,44,6088,1961,58,Neukölln,25,160,5
_y0rdnvko5,13.42293,52.50625,Spitz-Ahorn,AHORN,Adalbertstraße,29,165100,1994,25,Mitte,50,50,1
