id,lat,lng,artdtsch,gattungdeutsch,strname,hausnr,standortnr,pflanzjahr,standalter,bezirk,zeit,wassermenge,wassersumme
_686zcvccr,13.38715,52.595659999999995,Eiche,EICHE,undefined,undefined,787,2014.0,5,Pankow,2020-08-17 19:08:45.148766+00,50,50
_68n5cwjwe,13.40595,52.50866,Winter-Linde 'Greenspire',LINDE,Alte Jakobstraße,50,165900,1992.0,27,Mitte,2020-08-16 18:29:56.367051+00,50,75
_68rvvkgo6,13.47117,52.51716,Pflaumenblättriger Weiss-Dorn,WEIßDORN,undefined,undefined,60114,2013.0,6,Friedrichshain-Kreuzberg,2020-05-22 05:27:42.989923+00,10,160
_693kr36v1,13.47993,52.50375,Echter Rotdorn,WEIßDORN,Geusenstraße,5,23SB01,2011.0,8,Lichtenberg,2020-05-20 11:27:34.10629+00,50,100
_6994rwkqg,13.320829999999999,52.46004,Winter-Linde,LINDE,Zimmermannstraße,33,5018,1975.0,44,Steglitz-Zehlendorf,2020-06-25 17:30:35.368952+00,25,50
_6a69r744n,13.423670000000001,52.543769999999995,Spitz-Ahorn,AHORN,Senefelderstraße,undefined,42683,1993.0,26,Pankow,2020-05-31 08:00:21.382099+00,10,30
_6afo8ukl5,13.291160000000001,52.43917,Sommer-Linde,LINDE,Köhlerstraße,39,002499,1930.0,89,Steglitz-Zehlendorf,2020-08-18 11:17:56.765623+00,25,25
_6alot3ltk,13.52261,52.56501,Amerikanische Rot-Eiche,EICHE,Randowstraße,undefined,04SB05,1980.0,39,Lichtenberg,2020-08-12 15:46:33.322706+00,50,120
_6auvkrdvr,13.39231,52.53021999999999,Weidenblättrige Birne,BIRNE,Schröderstraße,15,192200,1998.0,21,Mitte,2020-08-14 14:53:08.248021+00,50,50
_6b3h8vogs,13.51195,52.45839,Säulenförmiger Spitz-Ahorn,AHORN,Brückenstraße,undefined,050054,2000.0,19,Treptow-Köpenick,2020-06-24 09:14:45.955955+00,10,20
_6bb4xt73i,13.47154,52.496469999999995,Großblättrige Robinie,ROBINIE,Fischzug,undefined,FISCHZUG,2004.0,15,Friedrichshain-Kreuzberg,2020-06-02 16:08:40.228067+00,25,25
_6bsw0ba82,13.47799,52.49181,Feld-Ulme,ULME,undefined,undefined,GRTUN1,1883.0,136,Friedrichshain-Kreuzberg,2020-08-06 07:18:17.091173+00,50,125
_6c9eehsqf,13.4614,52.51001,Schmalblättrige Esche,ESCHE,Krossener Straße,undefined,KROSSENE,2011.0,8,Friedrichshain-Kreuzberg,2020-08-19 18:41:37.291135+00,10,10
_6cr4l7elh,13.45876,52.52308000000001,Spitz-Ahorn,AHORN,Zur Innung,undefined,09278,2008.0,11,Pankow,2020-05-21 09:38:06.176619+00,25,175
_6de2p8j9t,13.356320000000002,52.54906999999999,"Oxelbeere, Schwedische Mehlbeere",MEHLBEERE,Utrechter Straße,5,30637,1982.0,37,Mitte,2021-04-25 08:09:16.456459+00,25,25
_6dpd3kxk7,13.43914,52.461830000000006,Hainbuche,HAINBUCHE,Bürgerstraße,48,793,1987.0,32,Neukölln,2020-06-25 10:40:29.964133+00,10,30
_6dqrcsmgh,13.423779999999999,52.47821,Winter-Linde,LINDE,Weisestraße,56,4767,1985.0,34,Neukölln,2020-08-20 11:34:04.080411+00,50,635
_6eiagxgf8,13.42598,52.49182,Kaiser-Linde,LINDE,Hobrechtstraße,32,2012,1984.0,35,Neukölln,2020-05-21 09:25:40.378126+00,10,110
_6eo4wtm5v,13.339870000000001,52.523230000000005,Baum-Hasel,HASEL,Krefelder Straße,12,243400,1988.0,31,Mitte,2020-05-25 10:38:18.230015+00,25,25
_6equsan12,13.37967,52.49165,Apfel-Dorn,WEIßDORN,Hagelberger Straße,undefined,01792,1992.0,27,Friedrichshain-Kreuzberg,2020-07-28 18:59:04.982793+00,50,50
_6est0dcid,13.339039999999999,52.471790000000006,Winter-Linde 'Boehlje',LINDE,Wielandstraße,14,17747,2003.0,16,Tempelhof-Schöneberg,2020-06-28 21:10:14.831226+00,25,25
_6ew4drj0q,13.34525,52.52114,Winter-Linde 'Greenspire',LINDE,Claudiusstraße,4,225020,2005.0,14,Mitte,2020-06-23 09:24:53.662241+00,25,665
_6f34wtjfa,13.42261,52.54786,Krim-Linde,LINDE,Wichertstraße,undefined,43547,1963.0,56,Pankow,2020-05-30 15:32:14.275461+00,50,275
_6f6fgr1je,13.3548,52.5429,Feld-Ulme,ULME,Triftstraße,53,30668,1970.0,49,Mitte,2020-05-19 19:35:34.949783+00,25,50
_6f7rbymlb,13.341579999999999,52.49541,Winter-Linde,LINDE,undefined,undefined,17246.0,1970.0,49,Tempelhof-Schöneberg,2020-08-12 15:02:57.609071+00,5,5
_6f9p8rknz,13.43871,52.461780000000005,Pyramiden-Hainbuche,HAINBUCHE,Bürgerstraße,undefined,793,2013.0,6,Neukölln,2020-06-25 10:40:47.96204+00,10,80
_6ftbwaztp,13.3798,52.49556,Linde,LINDE,Möckernstraße,undefined,03096,1938.0,81,Friedrichshain-Kreuzberg,2020-06-04 18:03:54.670922+00,50,50
_6fyilw3in,13.444220000000001,52.49978,Winter-Linde,LINDE,Schlesische Straße,hsnr 10/11,03964,2014.0,5,Friedrichshain-Kreuzberg,2020-06-24 21:31:16.980621+00,25,150
_6g93ls37d,13.462810000000001,52.49964,Baum-Hasel,HASEL,Corinthstraße,47,CORINTHS,2004.0,15,Friedrichshain-Kreuzberg,2020-06-10 18:32:01.146103+00,25,200
_6goslhk1z,13.32485,52.49041,"Sommer-Eiche, Stiel-Eiche",EICHE,Holsteinische Straße,16,02067,1983.0,36,Charlottenburg-Wilmersdorf,2020-06-22 18:20:45.729866+00,25,200
_6gxzb46ku,13.214770000000001,52.43795,Sommer-Linde,LINDE,Matterhornstraße,62,3007,1960.0,59,Steglitz-Zehlendorf,2020-08-12 10:47:32.244292+00,10,10
_6h0st24ps,13.455020000000001,52.52361,Holländische Linde,LINDE,Hausburgstraße,undefined,HAUSBURG,1980.0,39,Friedrichshain-Kreuzberg,2020-05-24 14:52:51.019481+00,50,50
_6hg9huama,13.483329999999999,52.49535,Rotblühende Rosskastanie,ROSSKASTANIE,Paula-Fürst-Straße,8,29SB13,2009.0,10,Lichtenberg,2020-08-18 06:47:46.59137+00,50,50
_6hwdg0ozt,13.4177,52.55611999999999,Gewöhnliche Esche,ESCHE,Eschengraben,undefined,40768,2013.0,6,Pankow,2020-06-28 09:58:55.823778+00,50,50
_6iiuuzb2g,13.47176,52.5173,Säulen-Eberesche,MEHLBEERE,Pettenkoferstraße,undefined,PETTENKO,2008.0,11,Friedrichshain-Kreuzberg,2020-07-19 20:22:24.116454+00,50,60
_6itq6dix4,13.30105,52.5132,Winter-Linde,LINDE,Kaiser-Friedrich-Straße,21,02288,1988.0,31,Charlottenburg-Wilmersdorf,2020-10-03 16:43:12.575752+00,50,50
_6iurdfkz6,13.342229999999999,52.528169999999996,Pyramiden-Hainbuche,HAINBUCHE,Bugenhagenstraße,6,221020,1984.0,35,Mitte,2020-05-21 21:41:01.101217+00,5,130
_6j6xhlrs2,13.378929999999999,52.4923,Linde,LINDE,Yorckstraße,undefined,04977,1990.0,29,Friedrichshain-Kreuzberg,2020-06-30 16:50:28.665038+00,25,40
_6j9z1o5iw,13.310670000000002,52.501999999999995,Winter-Linde,LINDE,Sybelstraße,64,04392,1995.0,24,Charlottenburg-Wilmersdorf,2020-08-07 19:45:26.375462+00,25,65
_6jgo24g0r,13.44694,52.52328000000001,Schwedische Mehlbeere,MEHLBEERE,Wilhelm-Stolze-Straße,32,43576,2017.0,2,Friedrichshain-Kreuzberg,2020-08-01 06:47:47.292667+00,25,25
_6k50dosl4,13.2872,52.50346999999999,"Berg-Ahorn, Weiss-Ahorn",AHORN,Herbartstraße,28,01942,1942.0,77,Charlottenburg-Wilmersdorf,2020-05-31 09:53:27.005709+00,50,50
_6kelhegzq,13.47112,52.49661,Großblättrige Robinie,ROBINIE,Fischzug,undefined,FISCHZUG,2005.0,14,Friedrichshain-Kreuzberg,2020-09-01 09:46:27.85381+00,10,10
_6kf3ynptu,13.3015,52.527330000000006,Winter-Linde 'Greenspire',LINDE,Brahestraße,8,00693,2014.0,5,Charlottenburg-Wilmersdorf,2020-06-02 10:10:34.57598+00,25,25
_6kfae9d81,13.34375,52.49081999999999,"Sommer-Eiche, Stiel-Eiche",EICHE,Berchtesgadener Straße,34,17650,1993.0,26,Tempelhof-Schöneberg,2020-06-16 11:20:34.298328+00,25,25
_6ko4h8s8q,13.3198,52.504690000000004,Krim-Linde,LINDE,Bleibtreustraße,8-9,00607,1940.0,79,Charlottenburg-Wilmersdorf,2020-07-30 18:41:54.950843+00,50,100
_6kok3y4o3,13.3797,52.494119999999995,Linde,LINDE,Möckernstraße,undefined,03096,1950.0,69,Friedrichshain-Kreuzberg,2020-06-04 17:58:08.399791+00,50,75
_6kphwmxxm,13.36715,52.543040000000005,Baum-Hasel,HASEL,Lindower Straße,8,30612,2005.0,14,Mitte,2020-09-22 11:39:36.781127+00,50,150
_6kzchkogb,13.47066,52.51886999999999,Säulen-Eberesche,MEHLBEERE,Pettenkoferstraße,undefined,PETTENKO,2008.0,11,Friedrichshain-Kreuzberg,2020-06-19 09:40:45.420813+00,10,10
_6l3vsvn51,13.344520000000001,52.4653,Spitz-Ahorn,AHORN,Rubensstraße,105,17730,1978.0,41,Tempelhof-Schöneberg,2020-06-04 20:48:47.636277+00,10,110
_6l8vnto13,13.28929,52.48887,Amerikanische Rot-Eiche,EICHE,Paulsborner Straße,40,03415,1980.0,39,Charlottenburg-Wilmersdorf,2020-05-23 15:38:07.636597+00,25,25
_6ld58g6jt,13.326279999999999,52.47881999999999,"Sommer-Eiche, Stiel-Eiche",EICHE,Detmolder Straße,5,00957,1981.0,38,Charlottenburg-Wilmersdorf,2020-05-23 11:27:40.160842+00,25,125
_6lgnbsk8o,13.32153,52.477230000000006,Gemeine Rosskastanie,ROSSKASTANIE,Kreisauer Straße,4,17848,1991.0,28,Tempelhof-Schöneberg,2020-07-24 07:44:29.48378+00,50,50
_6lnoihtnq,13.35663,52.54911,Kugel-Ahorn,AHORN,Utrechter Straße,10,30637,1954.0,65,Mitte,2021-04-25 08:08:27.968939+00,25,25
_6m1lx5jpi,13.46234,52.51878000000001,Pflaumenblättriger Weiss-Dorn,WEIßDORN,undefined,undefined,60114,2016.0,3,Friedrichshain-Kreuzberg,2020-06-22 16:40:27.312529+00,25,575
_6m5uodt1h,13.296560000000001,52.47691999999999,Ahornblättrige Platane,PLATANE,Reichenhaller Straße,17,03638,1980.0,39,Charlottenburg-Wilmersdorf,2021-04-28 09:37:53.254005+00,25,25
